Symbol,Company Name,Industry
DOMS,DOMS Industries Ltd.,Fast Moving Consumer Goods
DABUR,Dabur India Ltd.,Fast Moving Consumer Goods
DALBHARAT,Dalmia Bharat Ltd.,Construction Materials
DATAPATTNS,Data Patterns (India) Ltd.,Capital Goods
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals
DEEPAKNTR,Deepak Nitrite Ltd.,Chemicals
DELHIVERY,Delhivery Ltd.,Services
DEVYANI,Devyani International Ltd.,Consumer Services
DIVISLAB,Divi's Laboratories Ltd.,Healthcare
DIXON,Dixon Technologies (India) Ltd.,Consumer Durables
LALPATHLAB,Dr. Lal Path Labs Ltd.,Healthcare
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare
EIDPARRY,E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods
EIHOTEL,EIH Ltd.,Consumer Services
EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components
ELECON,Elecon Engineering Co. Ltd.,Capital Goods
ELGIEQUIP,Elgi Equipments Ltd.,Capital Goods
EMAMILTD,Emami Ltd.,Fast Moving Consumer Goods
EMCURE,Emcure Pharmaceuticals Ltd.,Healthcare
EMMVEE,Emmvee Photovoltaic Power Ltd.,Capital Goods
ENDURANCE,Endurance Technologies Ltd.,Automobile and Auto Components
ENGINERSIN,Engineers India Ltd.,Construction
ERIS,Eris Lifesciences Ltd.,Healthcare
ESCORTS,Escorts Kubota Ltd.,Capital Goods
ETERNAL,Eternal Ltd.,Consumer Services
EXIDEIND,Exide Industries Ltd.,Automobile and Auto Components
NYKAA,FSN E-Commerce Ventures Ltd.,Consumer Services
FEDERALBNK,Federal Bank Ltd.,Financial Services
FACT,Fertilisers and Chemicals Travancore Ltd.,Chemicals
FINCABLES,Finolex Cables Ltd.,Capital Goods
FSL,Firstsource Solutions Ltd.,Services
FIVESTAR,Five-Star Business Finance Ltd.,Financial Services
FORCEMOT,Force Motors Ltd.,Automobile and Auto Components
FORTIS,Fortis Healthcare Ltd.,Healthcare
GAIL,GAIL (India) Ltd.,Oil Gas & Consumable Fuels
GVT&D,GE Vernova T&D India Ltd.,Capital Goods
GMRAIRPORT,GMR Airports Ltd.,Services
GABRIEL,Gabriel India Ltd.,Automobile and Auto Components
GALLANTT,Gallantt Ispat Ltd.,Capital Goods
GRSE,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods
GICRE,General Insurance Corporation of India,Financial Services
GILLETTE,Gillette India Ltd.,Fast Moving Consumer Goods
GLAND,Gland Pharma Ltd.,Healthcare
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare
GLENMARK,Glenmark Pharmaceuticals Ltd.,Healthcare
MEDANTA,Global Health Ltd.,Healthcare
GODIGIT,Go Digit General Insurance Ltd.,Financial Services
GPIL,Godawari Power & Ispat Ltd.,Capital Goods
GODFRYPHLP,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods
GODREJCP,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods
GODREJIND,Godrej Industries Ltd.,Diversified
GODREJPROP,Godrej Properties Ltd.,Realty
GRANULES,Granules India Ltd.,Healthcare
GRAPHITE,Graphite India Ltd.,Capital Goods
GRASIM,Grasim Industries Ltd.,Construction Materials
GRAVITA,Gravita India Ltd.,Metals & Mining
GESHIP,Great Eastern Shipping Co. Ltd.,Services
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,Chemicals
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,Metals & Mining
HEG,H.E.G. Ltd.,Capital Goods
HBLENGINE,HBL Engineering Ltd.,Capital Goods
HCLTECH,HCL Technologies Ltd.,Information Technology
HDBFS,HDB Financial Services Ltd.,Financial Services
HDFCAMC,HDFC Asset Management Company Ltd.,Financial Services
HDFCBANK,HDFC Bank Ltd.,Financial Services
HDFCLIFE,HDFC Life Insurance Company Ltd.,Financial Services
HFCL,HFCL Ltd.,Telecommunication
HAVELLS,Havells India Ltd.,Consumer Durables
HEROMOTOCO,Hero MotoCorp Ltd.,Automobile and Auto Components
HEXT,Hexaware Technologies Ltd.,Information Technology
HSCL,Himadri Speciality Chemical Ltd.,Chemicals
HINDALCO,Hindalco Industries Ltd.,Metals & Mining
HAL,Hindustan Aeronautics Ltd.,Capital Goods
HINDCOPPER,Hindustan Copper Ltd.,Metals & Mining
HINDPETRO,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels
HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods
HINDZINC,Hindustan Zinc Ltd.,Metals & Mining
POWERINDIA,Hitachi Energy India Ltd.,Capital Goods
HOMEFIRST,Home First Finance Company India Ltd.,Financial Services
HONASA,Honasa Consumer Ltd.,Fast Moving Consumer Goods
HONAUT,Honeywell Automation India Ltd.,Capital Goods
HUDCO,Housing & Urban Development Corporation Ltd.,Financial Services
HYUNDAI,Hyundai Motor India Ltd.,Automobile and Auto Components
ICICIBANK,ICICI Bank Ltd.,Financial Services
ICICIGI,ICICI Lombard General Insurance Company Ltd.,Financial Services
ICICIAMC,ICICI Prudential Asset Management Company Ltd.,Financial Services
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,Financial Services
IDBI,IDBI Bank Ltd.,Financial Services
IDFCFIRSTB,IDFC First Bank Ltd.,Financial Services
IFCI,IFCI Ltd.,Financial Services
IIFL,IIFL Finance Ltd.,Financial Services
IRB,IRB Infrastructure Developers Ltd.,Construction
IRCON,IRCON International Ltd.,Construction
ITCHOTELS,ITC Hotels Ltd.,Consumer Services
ITC,ITC Ltd.,Fast Moving Consumer Goods
ITI,ITI Ltd.,Telecommunication
INDGN,Indegene Ltd.,Healthcare
INDIACEM,India Cements Ltd.,Construction Materials
INDIAMART,Indiamart Intermesh Ltd.,Consumer Services
INDIANB,Indian Bank,Financial Services
IEX,Indian Energy Exchange Ltd.,Financial Services
INDHOTEL,Indian Hotels Co. Ltd.,Consumer Services
IOC,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels
IOB,Indian Overseas Bank,Financial Services
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services
IRFC,Indian Railway Finance Corporation Ltd.,Financial Services
IREDA,Indian Renewable Energy Development Agency Ltd.,Financial Services
IGL,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels
INDUSTOWER,Indus Towers Ltd.,Telecommunication
INDUSINDBK,IndusInd Bank Ltd.,Financial Services
NAUKRI,Info Edge (India) Ltd.,Consumer Services
INFY,Infosys Ltd.,Information Technology
INOXWIND,Inox Wind Ltd.,Capital Goods
INTELLECT,Intellect Design Arena Ltd.,Information Technology
INDIGO,InterGlobe Aviation Ltd.,Services
IGIL,International Gemological Institute Ltd.,Services
IKS,Inventurus Knowledge Solutions Ltd.,Information Technology
IPCALAB,Ipca Laboratories Ltd.,Healthcare
JKCEMENT,J.K. Cement Ltd.,Construction Materials
JBMA,JBM Auto Ltd.,Automobile and Auto Components
JKTYRE,JK Tyre & Industries Ltd.,Automobile and Auto Components
JMFINANCIL,JM Financial Ltd.,Financial Services
JSWCEMENT,JSW Cement Ltd.,Construction Materials
JSWDULUX,JSW Dulux Ltd.,Consumer Durables
JSWENERGY,JSW Energy Ltd.,Power
JSWINFRA,JSW Infrastructure Ltd.,Services
JSWSTEEL,JSW Steel Ltd.,Metals & Mining
JAINREC,Jain Resource Recycling Ltd.,Metals & Mining
JPPOWER,Jaiprakash Power Ventures Ltd.,Power
J&KBANK,Jammu & Kashmir Bank Ltd.,Financial Services
JINDALSAW,Jindal Saw Ltd.,Capital Goods
JSL,Jindal Stainless Ltd.,Metals & Mining
JINDALSTEL,Jindal Steel Ltd.,Metals & Mining
JIOFIN,Jio Financial Services Ltd.,Financial Services
JUBLFOOD,Jubilant Foodworks Ltd.,Consumer Services
JUBLINGREA,Jubilant Ingrevia Ltd.,Chemicals
JUBLPHARMA,Jubilant Pharmova Ltd.,Healthcare
JWL,Jupiter Wagons Ltd.,Capital Goods
JYOTICNC,Jyoti CNC Automation Ltd.,Capital Goods
KPRMILL,K.P.R. Mill Ltd.,Textiles
KEI,KEI Industries Ltd.,Capital Goods
KPITTECH,KPIT Technologies Ltd.,Information Technology
KAJARIACER,Kajaria Ceramics Ltd.,Consumer Durables
KPIL,Kalpataru Projects International Ltd.,Construction
KALYANKJIL,Kalyan Jewellers India Ltd.,Consumer Durables
KARURVYSYA,Karur Vysya Bank Ltd.,Financial Services
KAYNES,Kaynes Technology India Ltd.,Capital Goods
KEC,Kec International Ltd.,Construction
KFINTECH,Kfin Technologies Ltd.,Financial Services
KIRLOSENG,Kirloskar Oil Eng Ltd.,Capital Goods
KOTAKBANK,Kotak Mahindra Bank Ltd.,Financial Services
KIMS,Krishna Institute of Medical Sciences Ltd.,Healthcare
LTF,L&T Finance Ltd.,Financial Services
LTTS,L&T Technology Services Ltd.,Information Technology
LGEINDIA,LG Electronics India Ltd.,Consumer Durables
LICHSGFIN,LIC Housing Finance Ltd.,Financial Services
LTFOODS,LT Foods Ltd.,Fast Moving Consumer Goods
LTM,LTM Ltd.,Information Technology
LT,Larsen & Toubro Ltd.,Construction
LATENTVIEW,Latent View Analytics Ltd.,Information Technology
LAURUSLABS,Laurus Labs Ltd.,Healthcare
THELEELA,Leela Palaces Hotels & Resorts Ltd.,Consumer Services
LEMONTREE,Lemon Tree Hotels Ltd.,Consumer Services
LENSKART,Lenskart Solutions Ltd.,Consumer Services
LICI,Life Insurance Corporation of India,Financial Services
LINDEINDIA,Linde India Ltd.,Chemicals
LLOYDSME,Lloyds Metals And Energy Ltd.,Metals & Mining
LODHA,Lodha Developers Ltd.,Realty
LUPIN,Lupin Ltd.,Healthcare
MMTC,MMTC Ltd.,Services
MRF,MRF Ltd.,Automobile and Auto Components
MGL,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,Financial Services
M&M,Mahindra & Mahindra Ltd.,Automobile and Auto Components
MANAPPURAM,Manappuram Finance Ltd.,Financial Services
MRPL,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels
MANKIND,Mankind Pharma Ltd.,Healthcare
MARICO,Marico Ltd.,Fast Moving Consumer Goods
MARUTI,Maruti Suzuki India Ltd.,Automobile and Auto Components
MFSL,Max Financial Services Ltd.,Financial Services
MAXHEALTH,Max Healthcare Institute Ltd.,Healthcare
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,Capital Goods
MEESHO,Meesho Ltd.,Consumer Services
MINDACORP,Minda Corporation Ltd.,Automobile and Auto Components
MSUMI,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components
MOTILALOFS,Motilal Oswal Financial Services Ltd.,Financial Services
MPHASIS,MphasiS Ltd.,Information Technology
MCX,Multi Commodity Exchange of India Ltd.,Financial Services
MUTHOOTFIN,Muthoot Finance Ltd.,Financial Services
NATCOPHARM,NATCO Pharma Ltd.,Healthcare
NBCC,NBCC (India) Ltd.,Construction
NCC,NCC Ltd.,Construction
NHPC,NHPC Ltd.,Power
NLCINDIA,NLC India Ltd.,Power
NMDC,NMDC Ltd.,Metals & Mining
NSLNISP,NMDC Steel Ltd.,Metals & Mining
NTPCGREEN,NTPC Green Energy Ltd.,Power
NTPC,NTPC Ltd.,Power
NH,Narayana Hrudayalaya Ltd.,Healthcare
NATIONALUM,National Aluminium Co. Ltd.,Metals & Mining
NAVA,Nava Ltd.,Power
NAVINFLUOR,Navin Fluorine International Ltd.,Chemicals
NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods
NETWEB,Netweb Technologies India Ltd.,Information Technology
NEULANDLAB,Neuland Laboratories Ltd.,Healthcare
NEWGEN,Newgen Software Technologies Ltd.,Information Technology
NAM-INDIA,Nippon Life India Asset Management Ltd.,Financial Services
NIVABUPA,Niva Bupa Health Insurance Company Ltd.,Financial Services
NUVAMA,Nuvama Wealth Management Ltd.,Financial Services
NUVOCO,Nuvoco Vistas Corporation Ltd.,Construction Materials
OBEROIRLTY,Oberoi Realty Ltd.,Realty
ONGC,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels
OIL,Oil India Ltd.,Oil Gas & Consumable Fuels
OLAELEC,Ola Electric Mobility Ltd.,Automobile and Auto Components
OLECTRA,Olectra Greentech Ltd.,Automobile and Auto Components
PAYTM,One 97 Communications Ltd.,Financial Services
ONESOURCE,Onesource Specialty Pharma Ltd.,Healthcare
OFSS,Oracle Financial Services Software Ltd.,Information Technology
POLICYBZR,PB Fintech Ltd.,Financial Services
PCBL,PCBL Chemical Ltd.,Chemicals
PGEL,PG Electroplast Ltd.,Consumer Durables
PIIND,PI Industries Ltd.,Chemicals
PNBHOUSING,PNB Housing Finance Ltd.,Financial Services
PTCIL,PTC Industries Ltd.,Capital Goods
PVRINOX,PVR INOX Ltd.,Media Entertainment & Publication
PAGEIND,Page Industries Ltd.,Textiles
PARADEEP,Paradeep Phosphates Ltd.,Chemicals
PATANJALI,Patanjali Foods Ltd.,Fast Moving Consumer Goods
PERSISTENT,Persistent Systems Ltd.,Information Technology
PETRONET,Petronet LNG Ltd.,Oil Gas & Consumable Fuels
PFIZER,Pfizer Ltd.,Healthcare
PHOENIXLTD,Phoenix Mills Ltd.,Realty
PWL,Physicswallah Ltd.,Consumer Services
PIDILITIND,Pidilite Industries Ltd.,Chemicals
PINELABS,Pine Labs Ltd.,Financial Services
PIRAMALFIN,Piramal Finance Ltd.,Financial Services
PPLPHARMA,Piramal Pharma Ltd.,Healthcare
POLYMED,Poly Medicure Ltd.,Healthcare
POLYCAB,Polycab India Ltd.,Capital Goods
POONAWALLA,Poonawalla Fincorp Ltd.,Financial Services
PFC,Power Finance Corporation Ltd.,Financial Services
POWERGRID,Power Grid Corporation of India Ltd.,Power
PREMIERENE,Premier Energies Ltd.,Capital Goods
PRESTIGE,Prestige Estates Projects Ltd.,Realty
PFOCUS,Prime Focus Ltd.,Media Entertainment & Publication
PNB,Punjab National Bank,Financial Services
RRKABEL,R R Kabel Ltd.,Capital Goods
RBLBANK,RBL Bank Ltd.,Financial Services
RECLTD,REC Ltd.,Financial Services
RHIM,RHI MAGNESITA INDIA LTD.,Capital Goods
RITES,RITES Ltd.,Construction
RADICO,Radico Khaitan Ltd,Fast Moving Consumer Goods
RVNL,Rail Vikas Nigam Ltd.,Construction
RAILTEL,Railtel Corporation Of India Ltd.,Telecommunication
RAINBOW,Rainbow Childrens Medicare Ltd.,Healthcare
RKFORGE,Ramkrishna Forgings Ltd.,Automobile and Auto Components
REDINGTON,Redington Ltd.,Services
RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels
RPOWER,Reliance Power Ltd.,Power
SBFC,SBFC Finance Ltd.,Financial Services
SBICARD,SBI Cards and Payment Services Ltd.,Financial Services
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services
SJVN,SJVN Ltd.,Power
SRF,SRF Ltd.,Chemicals
SAGILITY,Sagility Ltd.,Information Technology
SAILIFE,Sai Life Sciences Ltd.,Healthcare
SAMMAANCAP,Sammaan Capital Ltd.,Financial Services
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components
SAPPHIRE,Sapphire Foods India Ltd.,Consumer Services
SARDAEN,Sarda Energy and Minerals Ltd.,Metals & Mining
SAREGAMA,Saregama India Ltd,Media Entertainment & Publication
SCHAEFFLER,Schaeffler India Ltd.,Automobile and Auto Components
SCHNEIDER,Schneider Electric Infrastructure Ltd.,Capital Goods
SCI,Shipping Corporation of India Ltd.,Services
SHREECEM,Shree Cement Ltd.,Construction Materials
SHRIRAMFIN,Shriram Finance Ltd.,Financial Services
SHYAMMETL,Shyam Metalics and Energy Ltd.,Capital Goods
ENRIN,Siemens Energy India Ltd.,Capital Goods
SIEMENS,Siemens Ltd.,Capital Goods
SIGNATURE,Signatureglobal (India) Ltd.,Realty
SOBHA,Sobha Ltd.,Realty
SOLARINDS,Solar Industries India Ltd.,Chemicals
SONACOMS,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components
SONATSOFTW,Sonata Software Ltd.,Information Technology
STARHEALTH,Star Health and Allied Insurance Company Ltd.,Financial Services
SBIN,State Bank of India,Financial Services
SAIL,Steel Authority of India Ltd.,Metals & Mining
SUMICHEM,Sumitomo Chemical India Ltd.,Chemicals
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare
SUNTV,Sun TV Network Ltd.,Media Entertainment & Publication
SUNDARMFIN,Sundaram Finance Ltd.,Financial Services
SUPREMEIND,Supreme Industries Ltd.,Capital Goods
SPLPETRO,Supreme Petrochem Ltd.,Chemicals
SUZLON,Suzlon Energy Ltd.,Capital Goods
SWANCORP,Swan Corp Ltd.,Chemicals
SWIGGY,Swiggy Ltd.,Consumer Services
SYNGENE,Syngene International Ltd.,Healthcare
SYRMA,Syrma SGS Technology Ltd.,Capital Goods
TBOTEK,TBO Tek Ltd.,Consumer Services
TVSMOTOR,TVS Motor Company Ltd.,Automobile and Auto Components
TATACAP,Tata Capital Ltd.,Financial Services
TATACHEM,Tata Chemicals Ltd.,Chemicals
TATACOMM,Tata Communications Ltd.,Telecommunication
TCS,Tata Consultancy Services Ltd.,Information Technology
TATACONSUM,Tata Consumer Products Ltd.,Fast Moving Consumer Goods
TATAELXSI,Tata Elxsi Ltd.,Information Technology
TATAINVEST,Tata Investment Corporation Ltd.,Financial Services
TMCV,Tata Motors Ltd.,Capital Goods
TMPV,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components
TATAPOWER,Tata Power Co. Ltd.,Power
TATASTEEL,Tata Steel Ltd.,Metals & Mining
TATATECH,Tata Technologies Ltd.,Information Technology
TTML,Tata Teleservices (Maharashtra) Ltd.,Telecommunication
TECHM,Tech Mahindra Ltd.,Information Technology
TECHNOE,Techno Electric & Engineering Company Ltd.,Construction
TEGA,Tega Industries Ltd.,Capital Goods
TEJASNET,Tejas Networks Ltd.,Telecommunication
TENNIND,Tenneco Clean Air India Ltd.,Automobile and Auto Components
NIACL,The New India Assurance Company Ltd.,Financial Services
RAMCOCEM,The Ramco Cements Ltd.,Construction Materials
THERMAX,Thermax Ltd.,Capital Goods
TIMKEN,Timken India Ltd.,Capital Goods
TITAGARH,Titagarh Rail Systems Ltd.,Capital Goods
TITAN,Titan Company Ltd.,Consumer Durables
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare
TORNTPOWER,Torrent Power Ltd.,Power
TARIL,Transformers And Rectifiers (India) Ltd.,Capital Goods
TRAVELFOOD,Travel Food Services Ltd.,Consumer Services
TRENT,Trent Ltd.,Consumer Services
TRIDENT,Trident Ltd.,Textiles
TRITURBINE,Triveni Turbine Ltd.,Capital Goods
TIINDIA,Tube Investments of India Ltd.,Automobile and Auto Components
UCOBANK,UCO Bank,Financial Services
UNOMINDA,UNO Minda Ltd.,Automobile and Auto Components
UPL,UPL Ltd.,Chemicals
UTIAMC,UTI Asset Management Company Ltd.,Financial Services
ULTRACEMCO,UltraTech Cement Ltd.,Construction Materials
UNIONBANK,Union Bank of India,Financial Services
UBL,United Breweries Ltd.,Fast Moving Consumer Goods
UNITDSPR,United Spirits Ltd.,Fast Moving Consumer Goods
URBANCO,Urban Company Ltd.,Consumer Services
USHAMART,Usha Martin Ltd.,Capital Goods
VTL,Vardhman Textiles Ltd.,Textiles
VBL,Varun Beverages Ltd.,Fast Moving Consumer Goods
VEDL,Vedanta Ltd.,Metals & Mining
VIJAYA,Vijaya Diagnostic Centre Ltd.,Healthcare
VMM,Vishal Mega Mart Ltd.,Consumer Services
IDEA,Vodafone Idea Ltd.,Telecommunication
VOLTAS,Voltas Ltd.,Consumer Durables
WAAREEENER,Waaree Energies Ltd.,Capital Goods
WELCORP,Welspun Corp Ltd.,Capital Goods
WELSPUNLIV,Welspun Living Ltd.,Textiles
